texts,labels
Could you please verify your account number?,non-complaint
I'm extremely disappointed,complaint 
I've been charged twice for the same transaction,complaint
I've been a customer for 10 years and this is unacceptable,complaint
We value your business,non-complaint
I want to speak to a supervisor,complaint
This is the worst service ever,complaint
The transaction won't go through,complaint
Have a great day!,non-complaint
Allow me to transfer your call,non-complaint
Is there anything else I can help you with?,non-complaint
This is terrible customer service,complaint
Is there something else you'd like to know?,non-complaint
My credit card was declined,complaint
Thanks for holding,non-complaint
Let me transfer you to our specialist,non-complaint
I don't recognize this transaction,complaint
The payment keeps getting rejected,complaint
My card is not working,complaint
Thank you for waiting,non-complaint
Someone made a purchase without my permission,complaint
I'll connect you with our expert team,non-complaint
This is an unauthorized transaction,complaint
Thanks for choosing our service,non-complaint
I appreciate your patience,non-complaint
I want to report a double charge,complaint
This charge wasn't made by me,complaint
Just a moment please,non-complaint
Do you need assistance with anything else?,non-complaint
I've been trying to log in all day,complaint
"Welcome to customer service, how may I help?",non-complaint
"My name is John, I'll be helping you today",non-complaint
"I'm Sarah, and I'll be assisting you",non-complaint
The website is completely down,complaint
I'll need to verify your identity,non-complaint
I see two identical charges on my statement,complaint
I never authorized this payment,complaint
Your system is not working,complaint
"Hi, what can I assist you with?",non-complaint
The app keeps crashing,complaint
The system charged me multiple times,complaint
Let me check your account information,non-complaint
The service has been down for hours,complaint
I can't access my account since morning,complaint
"Good morning, how can I be of assistance?",non-complaint
"First, I need to confirm your details",non-complaint
There's a duplicate charge on my account,complaint
Thank you for calling,non-complaint
"Hello, how can I help you today?",non-complaint
